problem size	l1 accesses	l2 accesses	l3 accesses	 mem accesses
256	55061403	4591020	2784065	112478
500	60249673	4752747	2823192	124371
864	64573285	5055199	2969709	137190
1372	69947234	5255377	2977319	143517
2048	74266106	5502970	3069162	149640
2916	79362701	5740968	3145742	155792
4000	84401626	6020407	3206514	160518
5324	89605676	6137989	3240934	168759
6912	93861082	6396176	3342931	175304
8788	99277586	6555497	3345961	182715
10976	103455745	6892748	3456887	195638
13500	108414522	7100676	3539733	203039
