problem size	l1 accesses	l2 accesses	l3 accesses	 mem accesses
256	57161435	783842	559506	103676
500	68565675	1008592	690940	126829
864	80010411	1107681	813871	145291
1372	91406597	1596831	958399	170768
2048	102563695	1772108	1086869	191949
2916	114065184	2020414	1230589	217491
4000	125334579	2275092	1391372	242709
5324	136720635	2510216	1524629	256590
6912	148226554	2731255	1652306	283088
8788	159274520	2984502	1786170	316222
10976	170669025	3262249	1961863	412325
13500	182138208	3453474	2075778	464897
