problem size	l1 accesses	l2 accesses	l3 accesses	 mem accesses
256	51514031	1310689	839409	102777
500	61675295	1668721	1041411	126753
864	71831478	1859305	1223575	145215
1372	81934095	2301093	1457914	170731
2048	92123345	2642841	1641638	191868
2916	102234321	3026997	1863632	217553
4000	112342399	3422107	2138947	277531
5324	122453297	3790971	2324317	265579
6912	132561371	4122953	2503598	295696
8788	142674968	4501207	2713119	336203
10976	152783043	4928070	2995241	389242
13500	162893924	5193557	3168733	444493
