problem size	l1 accesses	l2 accesses	l3 accesses	 mem accesses
256	209578433	4743879	2704957	118761
500	249969683	4962464	2768809	127642
864	290322155	5249411	2853278	128664
1372	330822492	5461299	2863288	133110
2048	371316325	5730655	2929884	136015
2916	411458782	5921108	2977758	141135
4000	452424811	6215144	3042784	145861
5324	492770321	6362012	3087217	151841
6912	532957460	6620710	3166481	154433
8788	573502226	6805181	3156122	170711
10976	613664073	7059916	3220867	166855
13500	653781952	7273727	3260861	180212
