problem size	l1 accesses	l2 accesses	l3 accesses	 mem accesses
4	30545908	605461	506382	65524
6	44342026	973164	747524	90579
8	58260729	1572482	1006670	125922
10	72128746	1924041	1255971	153709
12	85963110	2281072	1521121	191503
14	99914173	2627621	1785724	271229
problem size	l1 accesses	l2 accesses	l3 accesses	 mem accesses
10	72004043	1926459	1258438	153603
20	141322433	3709458	2600532	611665
30	209602974	5749792	3955189	3361474
40	279348177	7644163	5232089	4517739
50	349368659	9471053	6487962	5642350
60	417842788	11401613	8520911	6884568
70	486776747	13256208	10058006	8103861
80	555889974	15089696	12028553	9393540
90	625618829	16945515	13685512	10415225
100	694458182	18830609	15542726	11776902
