problem size	l1 accesses	l2 accesses	l3 accesses	 mem accesses
4	25759121	887498	724838	65449
6	37315461	1415220	1090599	90399
8	48858878	1983013	1453530	124834
10	60360432	2523081	1822650	158466
12	71861980	2993102	2187466	199481
14	83365854	3438419	2550982	274914
problem size	l1 accesses	l2 accesses	l3 accesses	 mem accesses
10	60360433	2525166	1823018	157978
20	118008915	4871894	3696002	938663
30	175582152	7400204	5573842	3307989
40	233157705	9853366	7409832	4569426
50	290733263	12162376	9292681	5672302
60	348496801	14660660	11861946	6914008
70	406103939	17039885	13956958	8132598
80	463964537	19371554	16273841	9438258
90	521600935	21753994	18527720	10468232
100	579239647	24174138	20934556	11777480
