problem size	l1 accesses	l2 accesses	l3 accesses	 mem accesses
4	55280922	4593121	2796151	121595
6	64738519	5056614	2981395	134728
8	74462775	5525974	3094986	156326
10	84587064	6002259	3259644	172896
12	94028427	6423908	3363724	193362
14	103623301	6892276	3492682	194497
problem size	l1 accesses	l2 accesses	l3 accesses	 mem accesses
10	84636479	6023965	3244850	154885
20	131619439	8330930	3975097	254718
30	177983585	10733769	4885754	657678
40	224233736	13057993	5985932	1122970
50	270250795	15449976	7093690	1590245
60	317077911	17330114	8194290	2116814
70	363425515	19363600	9632467	2565518
80	409337073	21811522	11170325	3141231
90	455708608	23710910	12595399	3548500
100	502557745	25588450	14028660	4000531
